Departamento;Municipio;Latitud;Longitud;Direccion
ATLANTICO;PUERTO COLOMBIA;10.993.316;-74.944.673;Via al mar - km 97+130
ATLANTICO;PUERTO COLOMBIA;11.015.423;-74.867.812;Via al mar - km 106
MAGDALENA;CIENAGA;110.219.464;-742.095.139;RUTA 9007 KM 66 + 890
ATLANTICO;PUERTO COLOMBIA;10.990.537;-74.944.119;Via al mar - km 97
ATLANTICO;TUBARA;10.890.732;-75.051.471;VÖA AL MAR RUTA 90A01 KM 77+150
ANTIOQUIA;MEDELLIN;62.791;-756.449;Km 7 +300 V¡a Tunel de Occidente E-O
ANTIOQUIA;MEDELLIN;62.767;-756.061;Km 4 +100 V¡a Tunel de Occidente O-E
SUCRE;COROZAL;9.319.929;-75.304.641;VIA TRONCAL DE OCCIDENTE - KM 7+750 SNS
CUNDINAMARCA;LA MESA;4.554.758;-74.532.514;Se Encuentra Ubicado en el Municipio de Anapoima en CRA 5 NO. 9 50
ATLANTICO;GALAPA;10.862.371;-74.896.177;V¡a Cordialidad KM 104+900
SUCRE;COROZAL;9.326.066;-75.283.779;VIA TRONCAL DE OCCIDENTE - KM 10+550
SUCRE;COROZAL;9.319.717;-75.304.748;VIA TRONCAL DE OCCIDENTE - KM 7+750
MAGDALENA;PUEBLOVIEJO;10.981.853;-74.309.397;Troncal Del Caribe - PR 54
MAGDALENA;PUEBLOVIEJO;10.971.872;-74.362.098;Troncal Del Caribe - PR 48
ATLANTICO;SUAN;10.339.479;-74.879.307;V¡a Troncal de Occidente Ruta 2516 PR 9+308
MAGDALENA;PUEBLOVIEJO;10.972.246;-74.398.495;Troncal Del Caribe - PR 44
MAGDALENA;CIENAGA;110.221.411;-742.089.761;RUTA 9007 KM 66 + 977
MAGDALENA;CIENAGA;110.002.073;-74.213.672;RUTA 45MGB2 KM 1 + 350
CUNDINAMARCA;COTA;479.277;-74.115.819;Via Mosquera Cota km 16 sentido siberia cota
CUNDINAMARCA;SIBATE;4.528.889;-74.321.824;V¡a Bogota Girardot  Km 100 +500 sector el Soche
ATLANTICO;GALAPA;10.927.372;-74.866.142;VÖA CORDIALIDAD - RUTA 9006 PR 113+150
ATLANTICO;MALAMBO;10.864.616;-74.772.149;V¡a Oriental con Carrera 19 (Malambo)
CUNDINAMARCA;CAJICA;4.917.675;-74.016.017;El equipo se ubica en la Carrera 8 Nø 4D ? 05 en el Municipio de CAJICA
CUNDINAMARCA;CHOCONTA;5.148.254;-73.683.745;El equipo se ubica en la Carrera 8 Nø 9 ? 04 en el Municipio de Chocont   El sentido el cual se realizar  el control es en sentido Bogot  Tunja sentido Suroccidente  a Nororiente
ATLANTICO;BARANOA;10.781.367;-74.905.706;V¡a Cordialidad Km 96
ATLANTICO;PONEDERA;10.592.196;-74.780.466;V¡a Troncal del Occidente Ruta 2516 PR 41+000
CUNDINAMARCA;CAJICA;4.968.284;-74.004.538;VIA BOGOTA UBATE KM 19 +970
CUNDINAMARCA;COTA;4.773.019;-74.145.638;VÖA MOSQUERA COTA KM 12 Sentido Sur-occidente Norte-oriente
N. DE SANTANDER;CHOCONTA;499.607;-73.869.959;GACHANCIAPA VIA BOGOTA TUNJA K31+500
ATLANTICO;CAMPO DE LA CRUZ;10.459.206;-74.833.683;V¡a Troncal del Occidente Ruta 2516 PR 24+650
SANTANDER;PALERMO;2.947.972;-75.309.306;RUTA 4506 KM 0 + 300
CUNDINAMARCA;PALERMO;2.903.186;-75.331.144;RUTA 43HL02 PR 14 + 600
SANTANDER;SIBATE;4.503.708;-74.364.935;Via Bogot  Girardot km93+600
SANTANDER;COTA;4.782.882;-74.130.177;Via Mosquera Cota Km14
