Departamento;Municipio;Latitud;Longitud;Direccion
Bogota D.C;Bogota D.C;470.846;-7.411.061;AV CALLE 80 CON CARRERA 98
Bogota D.C;Bogota D.C;4.688.698;-74.065.012;AV SUBA X AC 100
Bogota D.C;Bogota D.C;46.880.079;-740.739.951;AK 68 X CL 98
Bogota D.C;Bogota D.C;4.647.979;-74.059.831;AK 7 X CL 63
Bogota D.C;Bogota D.C;4.639.412;-74.062.918;AK 7 X AC 53
Bogota D.C;Bogota D.C;46.313.959;-740.642.157;AK 7 X CL 45
Bogota D.C;Bogota D.C;460.875;-74.075.999;AV CARACAS X AC 19
Bogota D.C;Bogota D.C;466.785;-7.405.147;AK 11 X CL 85
Bogota D.C;Bogota D.C;466.906;-740.634;AK 24 X AC 80
Bogota D.C;Bogota D.C;4.589.056;-74.109.026;KR 27 X AV PRIMERO DE MAYO
Bogota D.C;Bogota D.C;4.569.278;-74.085.525;KR 3 ESTE X AV PRIMERO DE MAYO (CL 20 SUR)
Bogota D.C;Bogota D.C;4.654.698;-74.055.475;AK 7 X AC 72
Bogota D.C;Bogota D.C;4.674.193;-74.041.944;AK 7 X CL 94
Bogota D.C;Bogota D.C;4.681.633;-74.041.466;KR 9 X AC 100
N. DE SANTANDER;CUCUTA;7.890.144;-72.498.783;AVENIDA 0? DIAGONAL SANTANDER (CLL 6)
VALLE DEL CAUCA;CALI;34.124.376;-765.152.203;CALLE 36 CON CARRERA 42B
META;VILLAVICENCIO;41.170.777;-736.471.611;CARRERA 48 CALLE 8 SUR
VALLE DEL CAUCA;CALI;34.756.242;-765.041.172;CALLE 52 CON CARRERA 1
VALLE DEL CAUCA;CALI;34.754.939;-76.487.327;CALLE 70 CON CARRERA 1D
VALLE DEL CAUCA;CALI;34.018.078;-76.524.469;CARRERA 56 CON CALLE 18A
ANTIOQUIA;MEDELLIN;62.291;-755.715;Calle 29 por Carrera 44
ANTIOQUIA;MEDELLIN;62.597;-755.827;Calle 55 por Carrera 67B
ANTIOQUIA;MEDELLIN;62.098;-755.709;Carrera 43 A por Calle 9
N. DE SANTANDER;LOS PATIOS;78.081.389;-725.174.694;AV 10 CALLE K53 este equipo funciona en sentidos NORTE - SUR
ANTIOQUIA;MEDELLIN;62.503;-755.727;Carrera 55 por Calle 49
ANTIOQUIA;MEDELLIN;62.029;-755.772;Avenida las Vegas por Calle 4 Sur
ANTIOQUIA;MEDELLIN;61.895;-755.608;Carrera 25 por Calle 9A Sur
ANTIOQUIA;MEDELLIN;62.389;-755.969;Calle 33 por Carrera 76
ANTIOQUIA;MEDELLIN;62.442;-756.067;Calle 35 por Carrera 84
N. DE SANTANDER;CUCUTA;7.887.145;-72.497.162;SIN DIRECCION
ANTIOQUIA;MEDELLIN;6.22;-7.557.676;Avenida Regional por Calle 18
ANTIOQUIA;MEDELLIN;62.614;-755.642;Carrera 51 por Calle 64
ANTIOQUIA;MEDELLIN;62.201;-755.802;Avenida Guayabal por Calle 17
ATLANTICO;BARRANQUILLA;1.101.211;-747.925;Via 40 # 73-290
ANTIOQUIA;MEDELLIN;61.977;-755.897;Carrera 52 por Calle 12 Sur
ANTIOQUIA;MEDELLIN;6.218.091;-75.575.764;Carrera 48 por Calle 16 A
ANTIOQUIA;MEDELLIN;62.125;-755.747;Calle 10 por Carrera 43F
ATLANTICO;BARRANQUILLA;1.099.322;-748.034;Calle 70 con carrera 46
ANTIOQUIA;MEDELLIN;62.222;-755.653;Carrera 38 por Calle 19
ATLANTICO;BARRANQUILLA;1.101.575;-7.482.514;Calle 98 # 56-162
ANTIOQUIA;MEDELLIN;62.097;-755.656;Calle 10 A por Carrera 36
ANTIOQUIA;MEDELLIN;62.159;-755.526;Carrera 22 por Calle 16
ANTIOQUIA;MEDELLIN;6.25;-755.971;Calle 44 por Carrera 78
ANTIOQUIA;MEDELLIN;62.561;-755.809;Calle 50 por Carrera 65
ANTIOQUIA;MEDELLIN;6.282.166;-75.572.512;Calle 89 por Carrera 65
N. DE SANTANDER;CUCUTA;789.434;-7.248.994;AV GRAN COLOMBIA CON GUAIMARAL
ANTIOQUIA;MEDELLIN;61.857;-75.57;Carrera 34 por Calle 16A Sur
ANTIOQUIA;MEDELLIN;62.446;-755.664;Carrera 45 por Calle 46
ANTIOQUIA;MEDELLIN;62.549;-75.563;Carrera 48 por Calle 58
ANTIOQUIA;MEDELLIN;6.290.308;-75.564.952;Avenida del Rio por Calle 94A
ANTIOQUIA;MEDELLIN;62.065;-755.861;Carrera 52 por Calle 2 Sur
ANTIOQUIA;MEDELLIN;6.269.738;-75.571.605;Avenida del Rio por Calle 72
ANTIOQUIA;MEDELLIN;6.274.592;-75.570.531;Avenida del Rio por Carrera 64A
ANTIOQUIA;MEDELLIN;6.226.302;-7.558.362;Carrera 65 por Calle 25
