Departamento;Municipio;Solicitante;Solicitud;Estado Solicitud;Fecha Radicado;Latitud;Longitud;Direccion;Tipo Equipo;Estado Ubicacion
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000354;Aprobada;07/17/2018 12:00:00 AM;41.292.306;-736.383.528;AVENIDA 40 CALLE 10C;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CALI;SECRETARIA DE TRANSITO Y TRANSPORTE SANTIAGO DE CALI;SOL0000000361;Aprobada;07/25/2018 12:00:00 AM;3.407.457;-765.424.192;CARRERA 56 CON CALLE 9;Lazo Inductivo de piso (espiras);Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000250;Aprobada;06/29/2018 12:00:00 AM;1.097.935;-7.482.306;Calle 82B # 26C1 - 60 (casa esquina);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000225;Aprobada;06/29/2018 12:00:00 AM;110.131;-7.483.406;Carrera 51B - Calle 102;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000228;Aprobada;06/29/2018 12:00:00 AM;109.402.005;-7.477.858;Calle 19 entre carreras 3D(Boulevard);Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000239;Aprobada;07/26/2018 12:00:00 AM;1.096.272;-7.483.793;Calle 110# 10 - 427;Radar doppler;Aprobada
META;VILLAVICENCIO;INSPECCION MUNICIPAL DE TRANSITO DE VILLAVICENCIO;SOL0000000421;Aprobada;8/02/2018 0:00;4.147.472;-73.618.595;CALLE 35 CARRERA 18;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000204;Aprobada;06/29/2018 12:00:00 AM;1.098.943;-7.481.432;Calle 76 # 38C - 110;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000223;Aprobada;06/29/2018 12:00:00 AM;1.095.849;-7.480.349;Calle 56 # 14 - 24;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000224;Aprobada;06/29/2018 12:00:00 AM;1.092.959;-7.479.918;Calle 45 # 1Sur - 39;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000240;Aprobada;06/29/2018 12:00:00 AM;109.475;-7.481.622;Carrera 6 - Calle 72 / carrera 56 # 65-44;Radar doppler;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000245;Aprobada;06/29/2018 12:00:00 AM;1.097.109;-74.823;Carrera 21 # 78-44;Radar doppler;Aprobada
ATLANTICO;JUAN DE ACOSTA;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000000442;Aprobada;8/02/2018 0:00;10.834.457;-75.142.016;SIN DIRECCION;Radar doppler;Aprobada
ATLANTICO;JUAN DE ACOSTA;INSTITUTO DE TRANSITO DEL ATLANTICO;SOL0000000443;Aprobada;8/02/2018 0:00;10.864.337;-75.099.612;SIN DIRECCION;Radar doppler;Aprobada
VALLE DEL CAUCA;CARTAGO;DISTRITO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CARTAGO;SOL0000001202;Aprobada;12/09/2018 0:00;47.068.812;-759.224.315;SIN DIRECCION;Laser (Lidar) / Infrarrojo;Aprobada
VALLE DEL CAUCA;CARTAGO;DISTRITO MUNICIPAL DE TRANSITO Y TRANSPORTE DE CARTAGO;SOL0000001221;Aprobada;12/09/2018 0:00;47.269.902;-759.143.884;SIN DIRECCION;Laser (Lidar) / Infrarrojo;Aprobada
ATLANTICO;BARRANQUILLA;SECRETARIA DISTRITAL DE MOVILIDAD DE BARRANQUILLA;SOL0000000221;Aprobada;06/29/2018 12:00:00 AM;1.094.667;-7.478.458;Calle 30 # 4B-350;Radar doppler;Aprobada
